Study,order checked,cohort,shared control,Age at test,Age at test_months,Measure,Sub measure,Checked,direction of improved health,Measurement type,Measure_exact notes,Gonads_removed,Control_treatment,Sex,Species_Latin,Species,Strain,Mixedsexenvironment,Environment,Wild_or_semi_wild,Age_at_treatment,Age at treatment_weeks,Control_value,Experimental_value,Error_control_extracted,Error_experimental_extracted,measurement_parameter,measurement_unit,Error_unit,Error_control_SD,Error_experimental_SD,whole IQR control,whole IQR treatment,control sample size range,experomental sample size range,Coefficent_unit,Sample_size_control,Sample_size_experimental,Notes,Notes2,Notes3
Ayaz 2019,15,1,1,16-18 months,17,cardiac function,Cardiac function/pathology,Yes,Increased,E/A ratio,E/A ratio,yes,Sham,Male,Mus musculus,Mice,C57Bl6/J,no,Laboratory,No,4weeks,4,1.57,1.63,0.06,0.05,mean,ratio,SE,0.224499443,0.206155281,,,,,,14,17,Fig8,,
Ayaz 2019,16,1,1,16-18 months,17,cardiac function,Cardiac function/pathology,Yes,Increased,Ejection fraction,Ejection fraction,yes,Sham,Male,Mus musculus,Mice,C57Bl6/J,no,Laboratory,No,4weeks,4,58.79,62.48,2.81,1.67,mean,%,SE,10.51405726,6.885586395,,,,,,14,17,Fig8,,
Ayaz 2019,11,1,1,16-18 months,17,cardiac function,Cardiac function/pathology,Yes,Increased,fractional shortening,fractional shortening,yes,Sham,Male,Mus musculus,Mice,C57Bl6/J,no,Laboratory,No,4weeks,4,26.75,29.27,2.36,1.39,mean,%,SE,11.06938119,7.485379082,,,,,,22,29,Fig8,,
Ayaz 2019,14,1,1,16-18 months,17,cardiac function,Cardiac function/pathology,Yes,decreased,Left Ventricular Isovolumic Relaxation Time,Left Ventricular Isovolumic Relaxation Time.,yes,Sham,Male,Mus musculus,Mice,C57Bl6/J,no,Laboratory,No,4weeks,4,12.74,17,1.04,0.97,mean,ms,SE,4.87803239,5.223609863,,,,,,22,29,Fig8,,
Fares 2013,39,2,2,24 months,24,cardiac function,Cardiac function/pathology,checked,Increased,Ejection fraction,Ejection fraction,yes,Sham,Female,Mus musculus,Mice,C57Bl6/J,no,Laboratory,No,4 weeks,4,60.45,60.45,2.69,2.32,mean,%,SE,6.589127408,5.682816203,,,,,,6,6,fig 2,,
Fares 2013,37,2,2,24 months,24,cardiac function,Cardiac function/pathology,checked,Increased,fractional shortening,LV fractional shortening,yes,Sham,Female,Mus musculus,Mice,C57Bl6/J,no,Laboratory,No,4 weeks,4,27.83,28.05,1.8,1.24,mean,%,SE,4.409081537,3.037367281,,,,,,6,6,fig 2,,
hewitson 2012,59,3,3,12 months,12,cardiac function,Cardiac function/pathology,checked,decreased,cardiac fibrosis,cardiac fibrosis,yes,Sham,Male,Mus musculus,Mice,RlnWT,no,Laboratory,No,4 weeks,4,0.9982,0.9928,0.062,0.04,mean,%,SEM,0.151868364,0.09797959,,,,,,6,6,fig2A,,
banga 2021,24,19,19,18 months,18,cardiac function,Cardiac function/pathology,Yes,Increased,E/A ratio,E/A ratio,yes,Sham,Male,Mus musculus,Mice,C57Bl6/J,no,Laboratory,No,1 month,4,1.59,1.26,0.19,0.07,mean,ratio,SEM,0.600832755,0.232163735,,,,,,10,11,table 1,,
banga 2021,17,19,19,18 months,18,cardiac function,Cardiac function/pathology,Yes,Increased,Ejection fraction,Ejection fraction,yes,Sham,Male,Mus musculus,Mice,C57Bl6/J,no,Laboratory,No,1 month,4,64.75,72.71,3.81,2.28,mean,%,SEM,12.04827789,7.561904522,,,,,,10,11,table 1,,
banga 2021,23,19,19,18 months,18,cardiac function,Cardiac function/pathology,Yes,decreased,Left Ventricular Isovolumic Relaxation Time,Left Ventricular Isovolumic Relaxation Time.,yes,Sham,Male,Mus musculus,Mice,C57Bl6/J,no,Laboratory,No,1 month,4,10.46,12.51,0.83,0.45,mean,ms,SEM,2.624690458,1.492481156,,,,,,10,11,table 1,,
Morin-Grandmont 2024,87,51,51,12 months,12,cardiac function,Cardiac function/pathology,extracted,decreased,cardiac fibrosis,cardiac fibrosis,yes,intact,Female,Mus musculus,Mice,C57Bl6/J,no,Laboratory,No,7 weeks,7,1.285569677,1.653042094,0.158024969,0.218865128,Mean,percentage,SEM,0.432769201,0.599386837,,,7 to 8,7 to 8,,8,8,Fig 4C,,
Morin-Grandmont 2024,88,52,52,24 months,24,cardiac function,Cardiac function/pathology,extracted,decreased,cardiac fibrosis,cardiac fibrosis,yes,intact,Female,Mus musculus,Mice,C57Bl6/J,no,Laboratory,No,12 months,52,0.9014734,1.072853312,0.03182994,0.145292438,Mean,percentage,SEM,0.087169882,0.397899728,,,7 to 8,7 to 8,,8,8,Fig 4C,,
Morin-Grandmont 2024,86,52,52,24 months,24,cardiac function,Cardiac function/pathology,checked,Increased,Ejection fraction,Ejection fraction,yes,intact,Female,Mus musculus,Mice,C57Bl6/J,no,Laboratory,No,12 months,52,58.59,56.38,2.34,1.86,mean,percentage,SEM,6.408353923,5.093819785,,,7 to 8,7 to 8,,8,8,Fig4B,,
Moore 2022,170,69,69,14 months,14,cardiac function,Cardiac function/pathology,extracted,decreased,cardiac fibrosis,cardiac fibrosis,yes,Sham,Female,Mus musculus,Mice,C57BL6,no,,,10 weeks,10,0.6498,0.4276,0.1524,0.0656,mean,secs,SEM,0.34077676,0.146686059,,,,,,5,5,Appendix A,,
Moore 2022,169,69,69,14 months,14,cardiac function,Cardiac function/pathology,extracted,decreased,Left Ventricular Isovolumic Relaxation Time,Left Ventricular Isovolumic Relaxation Time.,yes,Sham,Female,Mus musculus,Mice,C57BL6,no,,,10 weeks,10,0.0207,0.0165,0.0009,0.0008,mean,secs,SEM,0.002012461,0.001788854,,,,,,5,5,Appendix A,,
Walsh-Wilkinson 2022,172,70,70,12 months,12,cardiac function,Cardiac function/pathology,extracted,Increased,E/A ratio,E/A ratio,yes,Sham,Male,Mus musculus,Mice,C57BL6,no,,,6 weeks,6,1.6,1.58,0.03,0.04,mean,ratio,SEM,0.12,0.113137085,,,,,,16,8,Table S2 and 6,,
Walsh-Wilkinson 2022,174,70,70,12 months,12,cardiac function,Cardiac function/pathology,extracted,Increased,Ejection fraction,Ejection fraction,yes,Sham,Male,Mus musculus,Mice,C57BL6,no,,,6 weeks,6,55,59,1.7,1.6,mean,percentage,SEM,6.8,4.5254834,,,,,,16,8,Table S2 and 6,,
Walsh-Wilkinson 2022,176,70,70,12 months,12,cardiac function,Cardiac function/pathology,extracted,Increased,fractional shortening,fractional shortening,yes,Sham,Male,Mus musculus,Mice,C57BL6,no,,,6 weeks,6,33.2,32.2,1.2,1.6,mean,percentage,SEM,4.8,4.5254834,,,,,,16,8,Table S2 and 6,,
Walsh-Wilkinson 2022,182,70,70,12 months,12,cardiac function,Cardiac function/pathology,extracted,decreased,Left Ventricular Isovolumic Relaxation Time,Left Ventricular Isovolumic Relaxation Time.,yes,Sham,Male,Mus musculus,Mice,C57BL6,no,,,6 weeks,6,15.3,18,0.47,0.7,mean,milliseconds,SEM,1.88,1.979898987,,,,,,16,8,Table S2 and 6,,
Walsh-Wilkinson 2022,171,71,71,12 months,12,cardiac function,Cardiac function/pathology,extracted,Increased,E/A ratio,E/A ratio,yes,Sham,Female,Mus musculus,Mice,C57BL6,no,,,6 weeks,6,1.6,1.54,0.03,0.05,mean,ratio,SEM,0.1161895,0.141421356,,,,,,15,8,Table S2 and 6,,
Walsh-Wilkinson 2022,173,71,71,12 months,12,cardiac function,Cardiac function/pathology,extracted,Increased,Ejection fraction,Ejection fraction,yes,Sham,Female,Mus musculus,Mice,C57BL6,no,,,6 weeks,6,60,61,1.6,2.1,mean,percentage,SEM,6.196773354,5.939696962,,,,,,15,8,Table S2 and 6,,
Walsh-Wilkinson 2022,175,71,71,12 months,12,cardiac function,Cardiac function/pathology,extracted,Increased,fractional shortening,fractional shortening,yes,Sham,Female,Mus musculus,Mice,C57BL6,no,,,6 weeks,6,34.3,29.1,0.89,1.51,mean,percentage,SEM,3.446955178,4.270924958,,,,,,15,8,Table S2 and 6,,
Walsh-Wilkinson 2022,181,71,71,12 months,12,cardiac function,Cardiac function/pathology,extracted,decreased,Left Ventricular Isovolumic Relaxation Time,Left Ventricular Isovolumic Relaxation Time.,yes,Sham,Female,Mus musculus,Mice,C57BL6,no,,,6 weeks,6,15.8,15.8,0.39,0.81,mean,milliseconds,SEM,1.510463505,2.291025971,,,,,,15,8,Table S2 and 6,,
Ayaz 2019,10,1,1,16-18 months,17,cardiac function,Cardiac size,Yes,decreased,Cardiomyocyte size,Myoctye area,yes,Sham,Male,Mus musculus,Mice,C57Bl6/J,no,,,4 weeks,4,3738,3266,186,207,mean,um squared,SE,1302,1325.446717,,,,,,49,41,table 1,These sample sizes look too big. Are these multiple readings from the same animals?,
Ayaz 2019,9,1,1,16-18 months,17,cardiac function,Cardiac size,Yes,decreased,Heart size,heart weight/tibia weight,yes,Sham,Male,Mus musculus,Mice,C57Bl6/J,no,Laboratory,No,4 weeks,4,11.2,9.6,0.9,1,mean,mg/mm,SE,2.01246118,2.236067977,,,,,,5,5,table 1,Sample size changed from 9 to 5,
Ayaz 2019,13,1,1,16-18 months,17,cardiac function,Cardiac size,Yes,decreased,left ventricle size,IVPWd,yes,Sham,Male,Mus musculus,Mice,C57Bl6/J,no,Laboratory,No,4weeks,4,0.0659339,0.064797479,0.004685621,0.005139274,mean,cm,SE,0.021977509,0.02767584,,,,,,22,29,Fig8,,
Ayaz 2019,12,1,1,16-18 months,17,cardiac function,Cardiac size,Yes,decreased,left ventricle size,LV mass,yes,Sham,Male,Mus musculus,Mice,C57Bl6/J,no,Laboratory,No,4weeks,4,0.0915,0.075,0.005625,0.0045,mean,g,SE,0.026383589,0.024233242,,,,,,22,29,Fig8,,
Fares 2013,41,2,2,24 months,24,cardiac function,Cardiac size,extracted,decreased,Cardiomyocyte size,Myoctye fibre size,yes,Sham,Female,Mus musculus,Mice,C57Bl6/J,no,Laboratory,No,4 weeks,4,35.4,29.8,1.6,1.3,mean,pL,SEM,6.196773354,5.2,,,,,,15,16,table 1,,
Fares 2013,38,2,2,24 months,24,cardiac function,Cardiac size,extracted,decreased,left ventricle size,LVPWd,yes,Sham,Female,Mus musculus,Mice,C57Bl6/J,no,Laboratory,No,4 weeks,4,0.802227524,0.733507577,0.080777357,0.01362378,mean,mm,SE,0.197863307,0.033371309,,,,,,6,6,fig 2,just extracted LVPWd but other heart measurement values are also included,
Fares 2013,40,2,2,24 months,24,cardiac function,Cardiac size,checked,decreased,left ventricle size,ventricle weight/body weight,yes,Sham,Female,Mus musculus,Mice,C57Bl6/J,no,Laboratory,No,4 weeks,4,6.3,5.2,0.4,0.3,mean,mg/g,SEM,0.894427191,0.6,,,,,,5,4,table 1,,
hewitson 2012,58,3,3,12 months,12,cardiac function,Cardiac size,checked,decreased,left ventricle size,LV/BW,yes,Sham,Male,Mus musculus,Mice,RlnWT,no,Laboratory,No,4 weeks,4,3.6,3.5,0.1,0.3,mean,mg/g,SEM,0.244948974,0.734846923,,,,,,6,6,table 1,,
banga 2021,25,19,19,20 -26 months,23,cardiac function,Cardiac size,Yes,decreased,Cardiomyocyte size,myocyte fiber width,yes,Sham,Male,Mus musculus,Mice,C57Bl6/J,no,Laboratory,No,1 month,4,28.37,34.34,1.29,1.21,mean,um,SEM,8.653583073,7.934500614,,,,,,45,43,fig 6,These sample sizes look too big. Are these multiple readings from the same animals?,
banga 2021,26,19,19,22-24 months,23,cardiac function,Cardiac size,Yes,decreased,Heart size,heart size rel to body weight,yes,Sham,Male,Mus musculus,Mice,C57Bl6/J,no,Laboratory,No,1 month,4,4.06,4.39,0.38,0.34,mean,mg/g,SEM,1.10788086,0.991261822,,,6 to 11,6 to 11,,9,9,fig 6,,
banga 2021,18,19,19,18 months,18,cardiac function,Cardiac size,Yes,decreased,left ventricle size,left ventricle mass,yes,Sham,Male,Mus musculus,Mice,C57Bl6/J,no,Laboratory,No,1 month,4,144.02,118.2,8.69,11.87,mean,mg,SEM,27.48019287,39.36833626,,,,,,10,11,table 1,,
banga 2021,19,19,19,18 months,18,cardiac function,Cardiac size,Yes,decreased,left ventricle size,LVAWd,yes,Sham,Male,Mus musculus,Mice,C57Bl6/J,no,Laboratory,No,1 month,4,1.17,1.03,0.06,0.08,mean,mm,SEM,0.18973666,0.265329983,,,,,,10,11,table 1,Should we just be using the diastole values here? That is the more important one (i.e. LVPWd),
banga 2021,20,19,19,18 months,18,cardiac function,Cardiac size,Yes,decreased,left ventricle size,LVAWs,yes,Sham,Male,Mus musculus,Mice,C57Bl6/J,no,Laboratory,No,1 month,4,1.64,1.49,0.07,0.1,mean,mm,SEM,0.221359436,0.331662479,,,,,,10,11,table 1,Should we just be using the diastole values here? That is the more important one (i.e. LVPWd),
banga 2021,21,19,19,18 months,18,cardiac function,Cardiac size,Yes,decreased,left ventricle size,LVPWd,yes,Sham,Male,Mus musculus,Mice,C57Bl6/J,no,Laboratory,No,1 month,4,0.92,0.84,0.06,0.05,mean,mm,SEM,0.18973666,0.16583124,,,,,,10,11,table 1,Should we just be using the diastole values here? That is the more important one (i.e. LVPWd),
banga 2021,22,19,19,18 months,18,cardiac function,Cardiac size,Yes,decreased,left ventricle size,LVPWs,yes,Sham,Male,Mus musculus,Mice,C57Bl6/J,no,Laboratory,No,1 month,4,1.35,1.43,0.08,0.07,mean,mm,SEM,0.252982213,0.232163735,,,,,,10,11,table 1,Should we just be using the diastole values here? That is the more important one (i.e. LVPWd),
Pijacka 2015,100,24,24,12 months,12,cardiac function,Cardiac size,checked,decreased,Heart size,heart siz/body weight,yes,Sham,Female,Ratus ratus,Rat,wistar,no,Laboratory,No,10 weeks,10,0.32,0.26,0.02,0.02,mean,%,SEM,0.056568542,0.056568542,,,,,,8,8,Table 1,,
Pijacka 2015,101,25,25,18 months,18,cardiac function,Cardiac size,checked,decreased,Heart size,heart siz/body weight,yes,Sham,Female,Ratus ratus,Rat,wistar,no,Laboratory,No,10 weeks,10,0.3,0.25,0.01,0.01,mean,%,SEM,0.028284271,0.028284271,,,,,,8,8,Table 1,,
Morin-Grandmont 2024,90,51,51,24 months,24,cardiac function,Cardiac size,extracted,decreased,Cardiomyocyte size,Cardiomyocyte CSA,yes,intact,Female,Mus musculus,Mice,C57Bl6/J,no,Laboratory,No,12 months,52,493.6313582,457.5598274,32.56423702,64.84111416,Mean,um2,SEM,89.18083592,177.5747044,,,7 to 8,7 to 8,,8,8,Fig2D,,
Morin-Grandmont 2024,89,51,51,12 months,12,cardiac function,Cardiac size,extracted,decreased,Cardiomyocyte size,Cardiomyocyte CSA,yes,intact,Female,Mus musculus,Mice,C57Bl6/J,no,Laboratory,No,7 weeks,7,352.1735711,352.9776383,38.02307289,63.28756375,Mean,um2,SEM,104.1304736,173.3201314,,,7 to 8,7 to 8,,8,8,Fig3A,,
Morin-Grandmont 2024,82,51,51,12 months,12,cardiac function,Cardiac size,checked,decreased,Heart size,heart weight/tibia weight,yes,intact,Female,Mus musculus,Mice,C57Bl6/J,no,Laboratory,No,7 weeks,7,5.445292621,5.521628499,0.229007634,0.190839695,Mean,mg/mm,SEM,0.627163234,0.539776169,,,,,,8,8,Fig2D,,
Morin-Grandmont 2024,83,51,51,12 months,12,cardiac function,Cardiac size,checked,decreased,left ventricle size,posterior LV wall thickness + interventricular septal wall thickness,yes,intact,Female,Mus musculus,Mice,C57Bl6/J,no,Laboratory,No,7 weeks,7,1.6,1.68,0.6,0.05,Mean,mm,SEM,1.697056275,0.141421356,,,,,,8,8,Fig3A,,
Morin-Grandmont 2024,84,52,52,24 months,24,cardiac function,Cardiac size,checked,decreased,Heart size,heart weight/tibia weight,yes,intact,Female,Mus musculus,Mice,C57Bl6/J,no,Laboratory,No,12 months,52,6.615776081,5.763358779,0.114503817,0.127226463,Mean,mg/mm,SEM,0.323865701,0.359850779,,,,,,8,8,Fig2D,,
Morin-Grandmont 2024,85,52,52,24 months,24,cardiac function,Cardiac size,checked,decreased,left ventricle size,posterior LV wall thickness + interventricular septal wall thickness,yes,intact,Female,Mus musculus,Mice,C57Bl6/J,no,Laboratory,No,12 months,52,1.83,1.61,0.07,0.04,Mean,mm,SEM,0.197989899,0.113137085,,,,,,8,8,Fig3A,,
banga 2023,163,66,66,25 months,25,cardiac function,Cardiac size,extracted,decreased,Heart size,heart weight/tibia weight,yes,Sham,Male,Mus musculus,Mice,C57Bl6/J,no,Laboratory,No,1 month,4,9.04,8,0.6,0.34,mean,mg/mm,SE,1.587450787,0.899555446,,,,,,7,7,table 2,,
Walsh-Wilkinson 2022,178,70,70,12 months,12,cardiac function,Cardiac size,extracted,decreased,Heart size,heart weight/tibia weight,yes,Sham,Male,Mus musculus,Mice,C57BL6,no,,,6 weeks,6,4.6,4.5,0.03,0.26,mean,mg/g,SEM,0.12,0.735391052,,,,,,16,8,Table 2 and S6,,
Walsh-Wilkinson 2022,180,70,70,12 months,12,cardiac function,Cardiac size,extracted,decreased,left ventricle size,PW: diastolic posterior wall thickness ,yes,Sham,Male,Mus musculus,Mice,C57BL6,no,,,6 weeks,6,0.93,0.81,0.02,0.012,mean,mm,SEM,0.08,0.033941125,,,,,,16,8,Table S2 and 6,,
Walsh-Wilkinson 2022,177,71,71,12 months,12,cardiac function,Cardiac size,extracted,decreased,Heart size,heart weight/tibia weight,yes,Sham,Female,Mus musculus,Mice,C57BL6,no,,,6 weeks,6,4.3,3.3,0.15,0.28,mean,mg/g,SEM,0.580947502,0.791959595,,,,,,15,8,Table 2 and S6,,
Walsh-Wilkinson 2022,179,71,71,12 months,12,cardiac function,Cardiac size,extracted,decreased,left ventricle size,PW: diastolic posterior wall thickness ,yes,Sham,Female,Mus musculus,Mice,C57BL6,no,,,6 weeks,6,0.84,0.9,0.01,0.018,mean,mm,SEM,0.038729833,0.050911688,,,,,,15,8,Table S2 and 6,,
Borbelyova et al 2016,134,77,77,30 months,30,Cognition,Cognition,extracted,Increased,novel object recognition,Novel object recognition test,Yes,unclear,Male,Ratus ratus,Rat,wistar albino,no,Laboratory,No,Day 47,6.5,4.173227084,12.10288765,1.483910276,3.075325883,mean,difference exploring novel object,SEM,5.747159786,11.50681581,,,,,,15,14,Fig3C,,
Hou 2013,63,5,5,12 months,12,Cognition,Cognition,checked,decreased,Morris water maze,morris water maze latency to find platform in probe test,yes,Sham,Female,Mus musculus,Mice,ICR,no,Laboratory,No,8 weeks,8,22.16,36.5,6.89,4.5,mean,s,SD,6.89,4.5,,,,,,10,10,Fig 1,,
Hou 2013,64,5,5,12 months,12,Cognition,Cognition,checked,Increased,Morris water maze,morris water mazeplatform crossings,yes,Sham,Female,Mus musculus,Mice,ICR,no,Laboratory,No,8 weeks,8,2.89,1.85,1.215,1.39,mean,n,SD,1.215,1.39,,,,,,10,10,fig 1,,
Hou 2013,65,6,6,12 months,12,Cognition,Cognition,checked,decreased,Morris water maze,morris water maze latency to find platform in probe test,yes,Sham,Male,Mus musculus,Mice,ICR,no,Laboratory,No,8 weeks,8,27.66,34.32,10.16,5.95,mean,s,SD,10.16,5.95,,,,,,10,10,Fig 1,,
Hou 2013,66,6,6,12 months,12,Cognition,Cognition,checked,Increased,Morris water maze,morris water mazeplatform crossings,yes,Sham,Male,Mus musculus,Mice,ICR,no,Laboratory,No,8 weeks,8,2.424,2.65,1.54,1.59,mean,n,SD,1.54,1.59,,,,,,10,10,Fig 1,,
Heikkinen,52,10,10,24 months,24,Cognition,Cognition,checked,decreased,RAM memory test,RAM memory test: reference memory errors,yes,Sham,Female,Mus musculus,Mice,C57Bl6/J,no,Laboratory,No,5 months,22,111.91,115.77,6.53,3.85,mean,n,SEM,17.27675606,12.76900544,,,,,,7,11,fig 1 & n in text,,
Heikkinen,55,10,10,24 months,24,Cognition,Cognition,checked,decreased,RAM memory test,RAM memory test: reference memory errors,yes,Sham,Female,Mus musculus,Mice,C57Bl6/J,no,,,5 months,22,111.37,115.03,7.32,5.23,mean,n,SEM,19.3668996,17.34594765,,,,,,7,11,fig2,,
Heikkinen,53,10,10,24 months,24,Cognition,Cognition,checked,decreased,RAM memory test,RAM memory test: rworking memory errors,yes,Sham,Female,Mus musculus,Mice,C57Bl6/J,no,Laboratory,No,5 months,22,45.43,32.98,12.98,5.82,mean,n,SEM,34.34185202,19.30275628,,,,,,7,11,fig 1,,
Heikkinen,56,10,10,24 months,24,Cognition,Cognition,checked,decreased,RAM memory test,RAM memory test: rworking memory errors,yes,Sham,Female,Mus musculus,Mice,C57Bl6/J,no,,,5 months,22,46.34,33.91,12.34,5.7,mean,n,SEM,32.64857118,18.90476131,,,,,,7,11,fig2,,
Heikkinen,54,10,10,24 months,24,Cognition,Cognition,checked,Increased,T maze test,T maze total correct choices,yes,Sham,Female,Mus musculus,Mice,C57Bl6/J,no,Laboratory,No,5 months,22,35.93,29.375,0.94,1.87,mean,n,SEM,2.487006232,6.202088358,,,,,,7,11,fig 1,,
Leffa 2013,76,12,12,18 months,18,Cognition,Cognition,extracted,Increased,inhibitory avoidance test,inhibitory avoidance test,yes,Sham,Female,Ratus ratus,Rat,wistar,no,Laboratory,No,3 months,12,4.17,9.35,0.59(lower)6.31 (upper),3.72(lower)25.05(upper),median,latency to step,interquartile interval,4.363081617,16.27002288,5.72,21.33,,,,12,12,Fig2,,
Leffa 2013,75,12,12,18 months,18,Cognition,Cognition,checked,Increased,novel object recognition,novel object recognition,yes,Sham,Female,Ratus ratus,Rat,wistar,no,Laboratory,No,3 months,12,0.678,0.666,0.068,0.036,mean,recognition index,SE,0.23555891,0.124707658,,,,,,12,12,Fig1,,
Koebele 2023,71,20,20,early middle age 12 months,12,Cognition,Cognition,checked,Increased,Morris water maze,moris maze: probe trial NE (correct) quadrant,yes,Sham,Female,Ratus ratus,Rat,Fischer 344 CDF,no,Laboratory,No,5 months,22,0.47,0.49,0.059,0.046,mean,proportion,SE,0.186574382,0.138,,,,,,10,9,fig 4D,,
Koebele 2023,72,20,20,late middle age at 17 months ,17,Cognition,Cognition,checked,Increased,Morris water maze,moris maze: probe trial NE (correct) quadrant,yes,Sham,Female,Ratus ratus,Rat,Fischer 344 CDF,no,Laboratory,No,5 months,22,0.39,0.37,0.04,0.051,mean,proportion,SE,0.12,0.134933317,,,,,,9,7,fig4F,,
Koebele 2023,69,20,20,early middle age 12 months,12,Cognition,Cognition,checked,decreased,water radial arm maze test,water radial arm maze: delayed memory retention number of errors,yes,Sham,Female,Ratus ratus,Rat,Fischer 344 CDF,no,Laboratory,No,5 months,22,1.91,1.54,0.525,0.395,mean,number,SE,1.575,1.185,,,,,,9,9,fig2H,Data is also presented for a ,
Koebele 2023,67,20,20,early middle age 12 months,12,Cognition,Cognition,checked,decreased,water radial arm maze test,water radial arm maze: WMI errors maximum working memory load,yes,Sham,Female,Ratus ratus,Rat,Fischer 344 CDF,no,Laboratory,No,5 months,22,1.606,1.324,0.28,0.2,mean,number,SE,0.885437745,0.6,,,,,,10,9,fig2H,Data is also presented for a ,
Koebele 2023,68,20,20,late middle age at 17 months ,17,Cognition,Cognition,checked,decreased,water radial arm maze test,water radial arm maze: WMI errors maximum working memory load,yes,Sham,Female,Ratus ratus,Rat,Fischer 344 CDF,no,Laboratory,No,5 months,22,1.53,1.28,0.22,0.19,mean,number,SE,0.66,0.502692749,,,,,,9,7,fig2J,,
Koebele 2023,70,20,20,late middle age at 17 months ,17,Cognition,Cognition,checked,decreased,water radial arm maze test,water radial arm maze:delayed memory retention number of errors,yes,Sham,Female,Ratus ratus,Rat,Fischer 344 CDF,no,Laboratory,No,5 months,22,2.09,1.35,0.347,0.66,mean,number,SE,1.041,1.746195865,,,,,,9,7,fig2J,,
