Study,order checked,cohort,shared control,Age at test,Age at test_months,Measure,Sub measure,Checked,direction of improved health,Measurement type,Measure_exact notes,Gonads_removed,Control_treatment,Sex,Species_Latin,Species,Strain,Mixedsexenvironment,Environment,Wild_or_semi_wild,Age_at_treatment,Age at treatment_weeks,Control_value,Experimental_value,Error_control_extracted,Error_experimental_extracted,measurement_parameter,measurement_unit,Error_unit,Error_control_SD,Error_experimental_SD,whole IQR control,whole IQR treatment,control sample size range,experomental sample size range,Coefficent_unit,Sample_size_control,Sample_size_experimental,Notes,Notes2,Notes3
picazo 2016,96,21,21,13 months,13,Cognition,Cognition,extracted,Increased,Autoshaping learning test,number of conditioned responses,yes,intact,Female,Ratus ratus,Rat,wistar,no,Laboratory,No,3 months,12,0.437044494,0.10308033,0.109442319,0.109683914,mean,number,SEM,0.244720466,0.245260687,,,,,,5,5,fig1A,,
picazo 2016,97,21,21,18 months,18,Cognition,Cognition,extracted,Increased,Autoshaping learning test,number of conditioned responses,yes,intact,Female,Ratus ratus,Rat,wistar,no,Laboratory,No,3 months,12,0.096879404,0.092772297,0.114032615,0.120958325,mean,number,SEM,0.254984679,0.270471037,,,,,,5,5,fig1A,,
galea 2018,42,22,22,14 months,14,Cognition,Cognition,checked,Increased,Morris water maze,Morris water maze (percentage of time in quadrant in probe trial),yes,Sham,Female,Ratus ratus,Rat,sprague-Dawley,no,Laboratory,No,8 months,35,29.4,31.7,2.5,2.2,mean,%,SEM,7.90569415,6.957010852,,,,,,10,10,table 3,nulliparous,"Data is also presented for a second test, reversal learning. Have not included this but could come under other memory tests? Stated that it is a test of cognitive flexibility"
galea 2018,43,23,23,14 months,14,Cognition,Cognition,checked,Increased,Morris water maze,Morris water maze (percentage of time in quadrant in probe trial),yes,Sham,Female,Ratus ratus,Rat,sprague-Dawley,no,Laboratory,No,8 months,35,28.5,34.3,4.6,2.9,mean,%,SEM,13.01076477,9.618211892,,,,,,8,11,table 3,primiparous,"Data is also presented for a second test, reversal learning. Have not included this but could come under other memory tests? Stated that it is a test of cognitive flexibility"
Wang 2021,121,53,53,14-15months,14.5,Cognition,Cognition,checked,Increased,novel object recognition,novel object recognition,yes,Sham,Male,Mus musculus,Mice,C57Bl6/J,no,,,8months,35,0.28,0.39,0.02,0.029,mean,index,SEM,0.056568542,0.082024387,,,,,,8,8,fig5i,,
Wang 2021,126,54,54,18 month,18,Cognition,Cognition,checked,Increased,novel object recognition,novel recognition open field ,Yes,Sham,Male,Mus musculus,Mice,C57Bl6/J,no,Laboratory,No,8 months,35,0.17,0.19,0.03,0.03,mean,index,S.E.M,0.084852814,0.084852814,,,,,,8,8,Fig S3E,,
Itoh et al 2023,137,57,57,12-14 months,13,Cognition,Cognition,extracted,Increased,Morris water maze,Morris water maze probe trial time in correct quadrant,Yes,unclear,Male,Mus musculus,Mice,C57BL6,no,Laboratory,No,2 months old,8,37.5,39.5,36.101 (lower) 41.134 (upper),36.38(lower) 41.28 (upper),median ,percentage in correct zone,IQR,3.824468085,3.723404255,5.033,4.9,,,,14,7,Fg 2,,
Itoh et al 2023,138,58,58,12-14 months,13,Cognition,Cognition,extracted,Increased,Morris water maze,Morris water maze probe trial time in correct quadrant,Yes,unclear,Female,Mus musculus,Mice,C57BL6,no,,,2 months old,8,34.91917698,25.87023555,33.81(lower) 44.08 (upper),20.34 (lower)31.18(upper),median ,percentage in correct zone,IQR,7.721804511,8.15037594,10.27,10.84,,,,30,8,Fig 2,,
Itoh et al 2023,139,59,59,12-14 months,13,Cognition,Cognition,extracted,Increased,Y maze testing,Y maze testing,Yes,unclear,Female,Mus musculus,Mice,C57BL6,no,,,2 months old,8,57.12,46.17,53.06(lower)72.71 (upper),39.45(lower)50.19(upper_,median ,percentage spontaneous alteration,IQR,14.96572734,8.179741051,19.65,10.74,,,,13,16,Fig 2,,
Jiang et al Biorvx,141,60,60,12.5 months,12.5,Cognition,Cognition,extracted,decreased,Barnes maze test,Barnes Maze test_time spent with incorrect hole,Yes,Sham,Male,Mus musculus,Mice,C57BL6,no,Laboratory,No,8 weeks,8,57.731,17.7235,13.52813,5.63127,mean,sec,SEM,48.77636638,13.7937381,,,,,,13,6,fig1F,12-13 months oldStated that hair greying delayed and also there is rectal temperator data,
Jiang et al Biorvx,140,60,60,12.5 months,12.5,Cognition,Cognition,extracted,decreased,Barnes maze test,Barnes Maze test_time to find correct hole,Yes,Sham,Male,Mus musculus,Mice,C57BL6,no,Laboratory,No,8 weeks,8,162.5326,69.9328,25.45105,13.07186,mean,sec,SEM,80.48328684,32.01938699,,,,,,10,6,fig 1E,12-13 months oldStated that hair greying delayed and also there is rectal temperator data,
Zakeri et al 2019,148,63,63,23 months,23,Cognition,Cognition,extracted,Increased,Y maze testing,Y maze testing,Yes,Sham,Female,Mus musculus,Mice,NMRI,no,Laboratory,No,10 months,43,68.5712498,23.41936493,5.259502581,8.499296105,mean,percentage spontaneous alteration,S.E.M,11.7606053,19.00500385,,,,,,5,5,Fig 4,,
Zakeri et al 2019,149,64,63,23 months,23,Cognition,Cognition,extracted,Increased,Y maze testing,Y maze testing,Yes,intact,Female,Mus musculus,Mice,NMRI,no,Laboratory,No,10 months,43,63.77600501,23.41936493,13.33583607,8.499296105,mean,percentage spontaneous alteration,S.E.M,26.67167214,19.00500385,,,,,,4,5,Fig 4,,
Heinze-Milne 2021,57,50,50,18 months,18,Frailty assessment,Frailty,extracted,decreased,Frailty score,Frailty score,yes,Sham,Male,Mus musculus,Mice,C57Bl6/J,no,,,4 weeks,4,0.223907295,0.17730995,0.036645285,0.04081906,mean,frailty score,95% confidence interval (whole interval),0.009348287,0.010413025,,,,,,10,11,fig 2 ,extracted mean and CI from figure ,"sham points: .287, .255, .246, .206,.19; points OX .22, .19, .17, .15, .12, .05, .18, .2, .23 but points # don't tally to n=10 or 11"
de la Fuente,30,34,34,18 months,18,Immune Function,Immune Function,reextracted,Increased,T cell function test,T cells function test in vitro; IL2 axillary leu w/ConA,yes,Sham,Female,Ratus ratus,Rat,wistar,no,,,12 months,52,435.4564033,52.2479564,95.74250681,12.07425068,mean,pg/ml,Sd,95.74250681,12.07425068,,,,,,6,6,Fig 7b,IL2 production mostly from T cellsin axi and spleen ChatGpt,why does it say chat gtp in adjacent cell
de la Fuente,31,34,34,22 months,22,Immune Function,Immune Function,reextracted,Increased,T cell function test,T cells function test in vitro; IL2 axillary leu w/ConA,yes,Sham,Female,Ratus ratus,Rat,wistar,no,,,12 months,52,213.777248,51.75408719,55.05790191,20.45299728,mean,pg/ml,Sd,55.05790191,20.45299728,,,,,,6,4,Fig 7b,IL2 production mostly from T cellsin axi and spleen ChatGpt,why does it say chat gtp in adjacent cell
de la Fuente,32,34,34,24 months,24,Immune Function,Immune Function,reextracted,Increased,T cell function test,T cells function test in vitro; IL2 spleen leu w/ConA,yes,Sham,Female,Ratus ratus,Rat,wistar,no,,,12 months,52,367.5408719,139.8160763,76.72002725,44.85694823,mean,pg/ml,Sd,76.72002725,44.85694823,,,,,,6,5,Fig 7b,,
de la Fuente,27,34,34,18 months,18,Immune Function,Immune Function,reextracted,Increased,T cell function test,T cells function test in vitro; Stimulation axillary leu w/ConA,yes,Sham,Female,Ratus ratus,Rat,wistar,no,,,12 months,52,446.524587,180.4184182,215.661355,69.21497703,mean,index,Sd,215.661355,69.21497703,,,,,,6,6,Fig 7a,Stim on ConA specific to Tcells in axi and spleen ChatGpt,
de la Fuente,28,34,34,22 months,22,Immune Function,Immune Function,reextracted,Increased,T cell function test,T cells function test in vitro; Stimulation axillary leu w/ConA,yes,Sham,Female,Ratus ratus,Rat,wistar,no,,,12 months,52,141.7538371,138.0877896,54.25750318,92.28663603,mean,index,Sd,54.25750318,92.28663603,,,,,,6,4,Fig 7a,Stim on ConA specific to Tcells in axi and spleen ChatGpt,
de la Fuente,29,34,34,24 months,24,Immune Function,Immune Function,reextracted,Increased,T cell function test,T cells function test in vitro; Stimulation axillary leu w/ConA,yes,Sham,Female,Ratus ratus,Rat,wistar,no,,,12 months,52,584.5146153,438.9480888,182.2270017,185.4531235,mean,index,Sd,182.2270017,185.4531235,,,,,,6,5,Fig 7a,Stim on ConA specific to Tcells in axi and spleen ChatGpt,
 Apelo 2020,2,7,7,12 months,12,"activity, energetics and metabolism",Metabolism,Yes,Increased,Energy expenditure,energy expenditure dark,yes,Sham,Female,Mus musculus,Mice,C57Bl6/J,no,Laboratory,No,3.5weeks,3.5,19.55,15.16,1.071,0.94,mean,kcal/kg/hr,SEM,3.386799374,2.972541001,,,,,,10,10,fig 4,Just dark period data used as this is when animals are active,Mice WT of Rictor flox mice
 Apelo 2020,5,7,7,12 months,12,"activity, energetics and metabolism",Metabolism,extracted,decreased,Insulin sensitivity,Insulin tolerance test,yes,Sham,Female,Mus musculus,Mice,C57Bl6/J,no,Laboratory,No,3.5weeks,3.5,5102,4895,206,187,mean,abitrary units (AUC),SEM,600.5880452,545.1940022,,,8 to 9,8 to 9,,9,9,fig 5 supplement 1,,Mice WT of Rictor flox mice
 Apelo 2020,4,8,8,12 months,12,"activity, energetics and metabolism",Metabolism,Yes,Increased,Energy expenditure,energy expenditure dark,yes,Sham,Male,Mus musculus,Mice,C57Bl6/J,no,Laboratory,No,3.5weeks,3.5,14.76,14.89,0.66,0.8,mean,kcal/kg/hr,SEM,2.188972362,2.529822128,,,,,,11,10,fig 4,Just dark period data used as this is when animals are active,Mice WT of Rictor flox mice
 Apelo 2020,6,8,8,13 months,13,"activity, energetics and metabolism",Metabolism,extracted,decreased,Insulin sensitivity,Insulin tolerance test,yes,Sham,Male,Mus musculus,Mice,C57Bl6/J,no,Laboratory,No,3.5weeks,3.5,5567,5380,192,378,mean,abitrary units (AUC),SEM,559.7713819,1102.049908,,,7 to 10,7 to 10,,9,9,fig 5 supplement 1,,Mice WT of Rictor flox mice
Garratt et al 2017,142,30,30,22 months,22,"activity, energetics and metabolism",Metabolism,extracted,decreased,Glucose tolerance,glucose tolerance area under the cruve,Yes,Sham,Male,Mus musculus,Mice,Het3,no,Laboratory,No,7-8 weeks,7.5,9337.934902,9880.644042,981.8162399,676.3504312,mean,abituary units,SEM,2776.995684,2029.051294,,,,,,8,9,Fig 5,,
Garratt et al 2017,143,31,31,22 months,22,"activity, energetics and metabolism",Metabolism,extracted,decreased,Glucose tolerance,glucose tolerance area under the cruve,Yes,Sham,Female,Mus musculus,Mice,Het3,no,Laboratory,No,7-8 weeks,7.5,7309,8483,281.1,557.9,mean,abituary units,SEM,843.3,1932.622291,,,,,,9,12,Fig 5,,
Borbelyova et al 2017,144,61,61,18 months,18,"activity, energetics and metabolism",Metabolism,extracted,decreased,Glucose tolerance,glucose tolerance area under the cruve,Yes,Sham,Male,Ratus ratus,Rat,Lewis,no,,,30 days,4,203.4,216.2,212.15,226.78,mean,abituary units,SEM,1081.75699,962.146055,,,,,,26,18,Fig 3A,,
Garratt 2018,44,30,30,22-24 months,23,skeletal Muscle function,Muscle size,checked,Increased,Quadriceps size,quadriceps size,yes,Sham,Male,Mus musculus,Mice,UM-Het3,no,Laboratory,No,3 months,12,0.123,0.146,0.005,0.007,mean,g,SEM,0.018708287,0.025238859,,,,,,14,13,fig5,got exact sample sizes from data files,
Garratt 2018,45,30,30,22-24 months,23,skeletal Muscle function,Muscle size,checked,Increased,Skeletal muscle fiber size,fiber CSA,yes,Sham,Male,Mus musculus,Mice,UM-Het3,no,Laboratory,No,3 months,12,2153,2461,70,108,mean,um2,SEM,252.3885893,418.2822014,,,,,,13,15,fig5,got exact sample sizes from data files,
Garratt 2018,47,31,31,22-24 months,23,skeletal Muscle function,Muscle size,checked,Increased,Quadriceps size,quadriceps size,yes,Sham,Female,Mus musculus,Mice,UM-Het3,no,Laboratory,No,3 months,12,0.118,0.111,0.004,0.006,mean,g,SEM,0.013266499,0.021633308,,,,,,11,13,fig5,got exact sample sizes from data files,
Garratt 2018,48,31,31,22-24 months,23,skeletal Muscle function,Muscle size,checked,Increased,Skeletal muscle fiber size,fiber CSA,yes,Sham,Female,Mus musculus,Mice,UM-Het3,no,Laboratory,No,3 months,12,2130,2029,168,93,mean,um2,SEM,531.2626469,308.4461055,,,,,,10,11,fig5,got exact sample sizes from data files,
Mason 2011,80,4,4,end of life,death,Pathology at death,NonTumor_pathology,checked,decreased,Cardiac pathology,atrial thrombosis at death,yes,Sham,Female,Mus musculus,Mice,CBA/J,no,Laboratory,No,21 days,3,0.38,0.44,,,Proportion,,,,,,,,,,34,25,table 1,,
Mason 2011,79,4,4,end of life,death,Pathology at death,NonTumor_pathology,checked,decreased,Cardiac pathology,cardiac fibrosis at death,yes,Sham,Female,Mus musculus,Mice,CBA/J,no,Laboratory,No,21 days,3,0.41,0.84,,,Proportion,,,,,,,,,,34,25,table 1,,
Mason 2011,78,4,4,end of life,death,Pathology at death,NonTumor_pathology,checked,decreased,Cardiac pathology,cardiomyopathy at death,yes,Sham,Female,Mus musculus,Mice,CBA/J,no,Laboratory,No,21 days,3,0.73,0.58,,,Proportion,,,,,,,,,,30,24,table 1,,
Drori and Folman 1976,167,68,68,End of life,death,Pathology at death,NonTumor_pathology,extracted,decreased,Kidney pathology,Proportion with Nephritis,yes,intact,Male,Ratus ratus,Rat,Albino,no,,,41 days,6,0.25,0.239,,,proportion,,,,,,,,,,48,46,Table 3,Other pathologies (pneumonia and enteritis) are listed but not included in healthspan search protocol,
Drori and Folman 1976,166,68,68,End of life,death,Pathology at death,NonTumor_pathology,extracted,decreased,Proportion with tumors ,Proportion with tumors (eccept hypophyseal adenoma),yes,intact,Male,Ratus ratus,Rat,Albino,no,,,41 days,6,0.104,0.087,,,proportion,,,,,,,,,,48,46,Table 3,Other pathologies (pneumonia and enteritis) are listed but not included in healthspan search protocol,
Holand 1977,196,76,76,At death,death,Pathology at death,NonTumor_pathology,extracted,decreased,Cardiac pathology,atrial thrombosis ,yes,intact,Female,Mus musculus,Mice,RFMf/Wg,no,,,5-6 weeks,5.5,0.229,0.128,,,Proportion,,,,,,,,,,109,103,Table 3,Only using data from non-irradiated animals,
Holand 1977,198,76,76,At death,death,Pathology at death,NonTumor_pathology,extracted,decreased,Cardiac pathology,Valvular endocarditis (heart inflammation disorder),yes,intact,Female,Mus musculus,Mice,RFMf/Wg,no,,,5-6 weeks,5.5,0.11,0.037,,,Proportion,,,,,,,,,,109,103,Table 3,Only using data from non-irradiated animals,Metritis and otitis media are also listed in paper but not in search protocol (V similar between groups)
Holand 1977,195,76,76,At death,death,Pathology at death,NonTumor_pathology,extracted,decreased,Kidney pathology,Severe glomerulosclerosis,yes,intact,Female,Mus musculus,Mice,RFMf/Wg,no,,,5-6 weeks,5.5,0.45,0.67,,,Proportion,,,,,,,,,,109,103,Table 3,Only using data from non-irradiated animals,
Holand 1977,197,76,76,At death,death,Pathology at death,NonTumor_pathology,extracted,decreased,Polyarteritis,Polyarteritis,yes,intact,Female,Mus musculus,Mice,RFMf/Wg,no,,,5-6 weeks,5.5,0.028,0.068,,,Proportion,,,,,,,,,,109,103,Table 3,Only using data from non-irradiated animals,
hewitson 2012,60,3,3,12 months,12,Pathology cross sectional,NonTumor_pathology,checked,decreased,Kidney pathology,kidney fibrosis (relative collagen conc),yes,Sham,Male,Mus musculus,Mice,RlnWT,no,Laboratory,No,4 weeks,4,0.999,1,0.041,0.024,mean,%,SEM,0.100429079,0.058787754,,,,,,6,6,fig2C,,
Urbieta 2012,117,9,9,18-22 months,20,pathology cross sectional,NonTumor_pathology,checked,decreased,Kidney pathology,kidney fibrosis ,yes,Sham,Female,Mus musculus,Mice,C57Bl6/J,no,Laboratory,No,6 months,26,2.47,2.75,0.4,0.3,mean,% cortical area,SE,1.326649916,0.994987437,,,,,,11,11,fig4,,
Urbieta 2012,115,9,9,18-22 months,20,pathology cross sectional,NonTumor_pathology,checked,Increased,Kidney pathology,presence of kidney lesions (higher score better),yes,Sham,Female,Mus musculus,Mice,C57Bl6/J,no,Laboratory,No,6 months,26,6.9,6.5,0.6,0.6,mean,#/field,SE,1.989974874,1.989974874,,,,,,11,11,text,,
Urbieta 2012,116,9,9,18-22 months,20,pathology cross sectional,NonTumor_pathology,checked,decreased,Kidney pathology,presence of kidney lesions segmental glomerulosclerosis,yes,Sham,Female,Mus musculus,Mice,C57Bl6/J,no,Laboratory,No,6 months,26,2,2.2,0.4,0.5,mean,%glomerular score,SE,1.326649916,1.658312395,,,,,,11,11,text,,
Reckelhoff 1993,109,13,13,18-20 months,19,Pathology cross sectional,NonTumor_pathology,checked,Increased,Kidney pathology,presence of kidney lesions (higher score better),yes,intact,Female,Ratus ratus,Rat,wistar,no,Laboratory,No,10 weeks,10,91,92,2,1,mean,proportion of normal glomerular,SEM (assumed),4.472135955,2,,,,,,5,4,text,"Information is provided on severity of damage also, but not sure how to extract this and the SE . Stated that it is more severe in males",
Reckelhoff 1993,110,14,14,18-20 months,19,Pathology cross sectional,NonTumor_pathology,checked,Increased,Kidney pathology,presence of kidney lesions,yes,intact,Male,Ratus ratus,Rat,wistar,no,Laboratory,No,10 weeks,10,83,92,2,2,mean,proportion of normal glomerular,SEM (assumed),5.291502622,3.464101615,,,,,,7,3,text,,
Herrara et al 2020,128,30,30,25 months,25,Pathology cross sectional,NonTumor_pathology,extracted,decreased,Liver pathology,Hepatic lipidosis,Yes,Sham,Male,Mus musculus,Mice,Het3,no,Laboratory,No,7-8 weeks,7.5,2.2857,1.5385,0.4738,0.4178,mean,score,SEM,1.772810521,1.506396618,,,,,,14,13,unpublished data,Data that was unpublished from Herrara et al. Pathology method included in paper for sham animals,
Herrara et al 2020,129,30,30,25 months,25,Pathology cross sectional,NonTumor_pathology,extracted,decreased,Liver pathology,Hepatic sum all other pathologies,Yes,Sham,Male,Mus musculus,Mice,Het3,no,Laboratory,No,7-8 weeks,7.5,1.7143,1.6923,0.5687,0.5687,mean,score,SEM,2.127785827,2.050385728,,,,,,14,13,unpublished data,Data that was unpublished from Herrara et al. Pathology method included in paper for sham animals,
Herrara et al 2020,130,31,31,25 months,25,Pathology cross sectional,NonTumor_pathology,extracted,decreased,Liver pathology,Hepatic lipidosis,Yes,Sham,Female,Mus musculus,Mice,Het3,no,Laboratory,No,7-8 weeks,7.5,1.5714,1.1250,0.3738,0.3400,mean,score,SEM,1.398586414,1.360147051,,,,,,14,16,unpublished data,Data that was unpublished from Herrara et al. Pathology method included in paper for sham animals,
Herrara et al 2020,131,31,31,25 months,25,Pathology cross sectional,NonTumor_pathology,extracted,decreased,Liver pathology,Hepatic sum all other pathologies,Yes,Sham,Female,Mus musculus,Mice,Het3,no,Laboratory,No,7-8 weeks,7.5,1.0000,0.8750,0.3631,0.2562,mean,score,SEM,1.358732441,1.024695077,,,,,,14,16,unpublished data,Data that was unpublished from Herrara et al. Pathology method included in paper for sham animals,
Phelan 1995,162,65,65,At death or 27 months if still alive,27,Pathology cross sectional,NonTumor_pathology,extracted,Increased,total non-neoplastic lesions,average number of non-neoplastic lesions,Yes,Sham,Female,Mus musculus,Mice,Swiss Webster,no,Laboratory,No,weaning,3,7.1,7,1.1,0.7,mean,number of lesions,S.E,4.115823125,2.523885893,,,,,,14,13,"Table 6, chapter 6",lots of info on specific lesions in table 5,67 animals examined. Doesn’t state which specific groups so have assumed t was spread evenly across five groups
Lazenby 1993,73,15,15,24 months,24,sensory function,Sensory function,checked,decreased,vision presence of cataracts,vision cataracts,yes,intact,Female,Ratus ratus,Rat,albino Wistar derived,no,Laboratory,No,5 weeks,5,0.14,0,,,proportion,,,,,,,,,,1111,56,text,not sure if the sample size for controls is overestimated because they say how many were studied in total but not how many studied at old age,
Lazenby 1993,74,16,16,24 months,24,sensory function,Sensory function,checked,decreased,vision presence of cataracts,vision cataracts,yes,intact,Male,Ratus ratus,Rat,albino Wistar derived,no,Laboratory,No,5 weeks,5,0.04,0,,,proportion,,,,,,,,,,1111,54,text,not sure if the sample size for controls is overestimated because they say how many were studied in total but not how many studied at old age,
Wang 2021,122,53,53,14-15months,14.5,sensory function,Sensory function,checked,Increased,Smell preference,odor smell preference test for female urine versus control,yes,Sham,Male,Mus musculus,Mice,C57Bl6/J,no,,,8months,35,7.67,9.08,1.9,1.1,mean,index,SEM,5.374011537,3.111269837,,,,,,8,8,fig 5m,,
Wang 2021,127,54,54,18 month,18,sensory function,Sensory function,checked,Increased,Smell preference,odor smell preference test for female urine versus control,Yes,Sham,Male,Mus musculus,Mice,C57Bl6/J,no,Laboratory,No,8 months,35,6.619297112,5.999665064,1.469891624,1.318452595,mean,min,S.E.M,4.15748134,3.729147081,,,,,,8,8,Fig s3I,,
Perez 1989,93,27,27,24 months,24,skeletal Muscle function,Strength/balance,checked,Increased,rotarod,rotarod acceleration 4th trial,yes,Sham,Male,Ratus ratus,Rat,sprague-Dawley,no,Laboratory,No,24h,0.14,6.24,24.75,1.34,10.49,mean,seconds,SEM,5.36,39.24998599,,,,,,16,14,fig2,,
Garratt 2018,46,30,30,22-24 months,23,skeletal Muscle function,Strength/balance,checked,Increased,rotarod,grip strengthrotarod,yes,Sham,Male,Mus musculus,Mice,UM-Het3,no,Laboratory,No,3 months,12,48.21,71.59,7.79,13.88,mean,sec,SEM,29.14751104,53.75700885,,,,,,14,15,fig5,got exact sample sizes from data files,
Garratt 2018,49,31,31,22-24 months,23,skeletal Muscle function,Strength/balance,checked,Increased,rotarod,grip strengthrotarod,yes,Sham,Female,Mus musculus,Mice,UM-Het3,no,Laboratory,No,3 months,12,63.65,57,12.63,9.37,mean,sec,SEM,47.25713279,37.48,,,,,,14,16,fig5,got exact sample sizes from data files,
Garratt 2021,51,33,33,675 to 800 days,24.5,skeletal Muscle function,Strength/balance,checked,Increased,Grip strength,grip strength hanging,yes,intact,Male,Mus musculus,Mice,C57Bl6/J,no,Laboratory,No,7 weeks,7,29.81,32.69,2.63,3,mean,sec,SEM,13.9166519,15.87450787,,,,,,28,28,Fig 2,Also data available for mixed sex environment but as this is the only sample point I have excluded,
