Species,Sex,Type,Contra_Behavioural_N,Contra_InfectDisease_N,Contra_NonInfectDisease_N,Contra_ChronDisease_N,Contra_deathAtBirth_N,Contra_Multiple_N,Contra_Other_N,Contra_Total_N,noContra_Behavioural_N,noContra_InfectDisease_N,noContra_NonInfectDisease_N,noContra_ChronDisease_N,noContra_deathAtBirth_N,noContra_Multiple_N,noContra_Other_N,noContra_Total_N,Contra_Behavioural_Low,Contra_InfectDisease_Low,Contra_NonInfectDisease_Low,Contra_ChronDisease_Low,Contra_deathAtBirth_Low,Contra_Multiple_Low,Contra_Other_Low,noContra_Behavioural_Low,noContra_InfectDisease_Low,noContra_NonInfectDisease_Low,noContra_ChronDisease_Low,noContra_deathAtBirth_Low,noContra_Multiple_Low,noContra_Other_Low,Contra_Behavioural_Med,Contra_InfectDisease_Med,Contra_NonInfectDisease_Med,Contra_ChronDisease_Med,Contra_deathAtBirth_Med,Contra_Multiple_Med,Contra_Other_Med,noContra_Behavioural_Med,noContra_InfectDisease_Med,noContra_NonInfectDisease_Med,noContra_ChronDisease_Med,noContra_deathAtBirth_Med,noContra_Multiple_Med,noContra_Other_Med,Contra_Behavioural_Upp,Contra_InfectDisease_Upp,Contra_NonInfectDisease_Upp,Contra_ChronDisease_Upp,Contra_deathAtBirth_Upp,Contra_Multiple_Upp,Contra_Other_Upp,noContra_Behavioural_Upp,noContra_InfectDisease_Upp,noContra_NonInfectDisease_Upp,noContra_ChronDisease_Upp,noContra_deathAtBirth_Upp,noContra_Multiple_Upp,noContra_Other_Upp
Petaurus breviceps,Male,Surgical,0,2,6,2,0,0,21,31,8,14,30,3,0,0,209,264,0,0,0,0,NA,0,0.071428571,0.033734988,0.042556399,0.016465123,0.00877193,NA,0,0.422454704,0,0.047619048,0.148888263,0,NA,0,0.359947082,0.059619838,0.068685776,0.091994602,0.01762218,NA,0,0.696368993,0,0.142857143,0.416380524,0.076923077,NA,0,0.845122998,0.070305976,0.139427298,0.337692299,0.034856879,NA,0,0.917604586
Phacochoerus africanus,Female,Hormonal,1,2,5,0,0,0,3,11,6,1,10,2,0,0,54,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phacochoerus africanus,Male,Surgical,1,0,0,0,0,0,4,5,11,3,9,3,0,0,59,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pithecia pithecia,Female,Hormonal,0,6,2,2,0,0,8,18,3,19,4,1,0,0,43,70,0,0,0,0,0,0,0.142857143,0,0.087557604,0,0.034482759,0,0,0.258303908,0,0.166666667,0,0,0,0,0.265306122,0.118469565,0.440557157,0.085714286,0.034482759,0,0,0.667785946,0,0.513888889,0,0.142857143,0,0,0.443413729,0.118469565,0.675845464,0.177142857,0.034482759,0,0,0.905036043
Pongo abelii,Female,Hormonal,0,0,3,0,1,0,5,9,2,4,1,2,3,0,19,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Potamochoerus porcus,Female,Hormonal,1,0,5,0,0,0,5,11,7,6,8,8,0,0,31,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Potamochoerus porcus,Male,Surgical,0,0,1,1,0,0,2,4,7,6,9,1,0,0,34,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Procavia capensis,Male,Hormonal,2,0,2,2,0,0,15,21,12,19,15,3,0,0,100,149,0,0,0,0,NA,0,0.238095238,0.083680556,0.038526162,0,0,NA,0,0.207067168,0,0,0,0,NA,0,0.380952381,0.107970112,0.10653435,0.065427471,0,NA,0,0.494157759,0.090909091,0,0.2,0.166666667,NA,0,0.607142857,0.139890505,0.290325816,0.157357789,0,NA,0,0.794436611
Procavia capensis,Male,Surgical,0,0,4,0,0,0,4,8,14,19,13,5,0,0,111,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Procyon lotor,Female,Surgical,4,2,6,2,0,0,12,26,19,6,37,24,1,0,150,237,0.228571429,0,0.076923077,0,0,0,0.166666667,0.059561594,0.019931891,0.06640899,0.009615385,0,0,0.361550666,0.287912088,0,0.076923077,0,0,0,0.377267574,0.131992037,0.040263488,0.180727139,0.1156604,0,0,0.630633088,0.287912088,0.325,0.341880342,0.285714286,0,0,0.680650038,0.215416337,0.089400324,0.331412312,0.27573499,0.018181818,0,0.875532873
Procyon lotor,Male,Surgical,1,0,10,7,0,0,32,50,20,8,32,19,0,0,142,221,0.125,0,0,0.128205128,NA,0,0,0.139089138,0.048375634,0.036442065,0.012345679,NA,0,0.289813715,0.125,0,0.147193497,0.128205128,NA,0,0.316317776,0.210220251,0.072021246,0.127984826,0.060747193,NA,0,0.636259348,0.125,0,0.330441175,0.278367347,NA,0,0.714555752,0.210220251,0.085667993,0.282983978,0.282511426,NA,0,0.860378619
Propithecus coquereli,Female,Hormonal,0,1,1,3,0,0,3,8,0,0,0,0,0,0,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pteropus rodricensis,Female,Hormonal,11,2,4,0,0,0,18,35,28,31,21,6,3,0,223,312,0.193277311,0,0.066666667,0,0,0,0.0625,0.125853419,0.075866431,0.056242695,0,0.011235955,0,0.40993402,0.479253778,0,0.144444444,0,0,0,0.541735527,0.146589567,0.193519817,0.103752106,0.013333333,0.024419476,0,0.761433415,0.635477645,0.285714286,0.266666667,0,0,0,0.826198955,0.272127217,0.289657945,0.216367069,0.086318426,0.039428407,0,0.939877286
Puma concolor,Female,Surgical,1,1,5,8,0,0,8,23,4,6,24,17,0,0,87,138,0,0,0,0.066666667,0,0,0.076923077,0.094117647,0.078805504,0,0.026315789,0,0,0.331728185,0,0.058823529,0.114186851,0.066666667,0,0,0.076923077,0.110294118,0.111705308,0.149420804,0.13941353,0,0,0.590902478,0.111111111,0.058823529,0.31860527,0.265882353,0,0,0.53125,0.110294118,0.130211447,0.378315995,0.241632512,0,0,0.8144074
Puma concolor,Male,Surgical,0,0,7,3,0,0,12,22,3,6,28,20,0,0,61,118,0,0,0,0,NA,0,0.142857143,0.016129032,0.033092325,0.050715833,0.058093126,NA,0,0.252261153,0,0,0,0.129464286,NA,0,0.384615385,0.034348865,0.07036541,0.193107484,0.181765367,NA,0,0.472302362,0,0,0.363636364,0.129464286,NA,0,0.631606489,0.056805868,0.123576817,0.405668102,0.273107658,NA,0,0.734279259
Rangifer tarandus,Male,Surgical,0,0,3,0,0,0,10,13,10,17,18,5,0,0,145,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rattus norvegicus,Female,Surgical,0,0,2,1,0,0,18,21,2,37,70,17,0,0,282,408,0,0,0,0,0,0,0.05,0.003424658,0.04599361,0.004,0,0,0,0.101283664,0,0,0,0,0,0,0.1925,0.007873655,0.107909639,0.070930449,0.02133284,0,0,0.401612178,0,0,0.0625,0.083333333,0,0,0.392,0.007873655,0.177271687,0.358816829,0.084842188,0,0,0.773179899
Rattus norvegicus,Male,Surgical,0,2,1,0,0,0,24,27,3,9,16,15,0,0,170,213,0,0,0,0,NA,0,0.076923077,0.007246377,0.031748113,0,0,NA,0,0.270109274,0,0,0,0,NA,0,0.230769231,0.014092954,0.038664198,0.01451647,0.014622084,NA,0,0.486681912,0,0,0,0,NA,0,0.769230769,0.014092954,0.078685709,0.16381804,0.167200216,NA,0,0.810175948
Rousettus aegyptiacus,Male,Surgical,0,1,1,0,0,0,30,32,4,9,33,6,0,0,236,288,0,0.090909091,0,0,NA,0,0.4,0.019607843,0.019330504,0.047880391,0,NA,0,0.381187245,0,0.090909091,0,0,NA,0,0.630236305,0.029411765,0.046218426,0.161301082,0.019454511,NA,0,0.678337545,0,0.090909091,0.071428571,0,NA,0,1,0.051470588,0.089443995,0.258888479,0.051096488,NA,0,0.924118556
Saguinus bicolor,Female,Hormonal,1,5,1,4,1,0,8,20,1,11,1,2,2,0,15,32,0.076923077,0.071428571,0,0,0,0,0,0,0.157894737,0,0.052631579,0.111111111,0,0.105882353,0.076923077,0.303571429,0,0,0,0,0.166666667,0.0625,0.483909774,0.125,0.052631579,0.111111111,0,0.529218187,0.076923077,0.442857143,0.111111111,0.62962963,0.125,0,0.661375661,0.0625,1,0.125,0.289473684,0.111111111,0,0.921536364
Saguinus oedipus,Female,Hormonal,2,3,8,4,0,0,30,47,33,48,40,13,2,0,273,409,0,0,0.114186851,0,0,0,0.047619048,0.061484876,0.071843052,0.022861209,0,0,0,0.315469533,0.05,0.090909091,0.196541362,0.052631579,0,0,0.262025012,0.140575869,0.195373203,0.099660043,0.041518962,0.005847953,0,0.638984007,0.05,0.136363636,0.196541362,0.1452315,0,0,0.628888153,0.242610321,0.329955698,0.248534971,0.119196514,0.017145136,0,0.892593097
Saguinus oedipus,Female,Surgical,0,2,4,0,0,0,12,18,35,49,44,17,2,0,291,438,0,0,0.125,0,0,0,0.125,0.053451246,0.068608058,0.027126444,0,0,0,0.299728194,0,0.111111111,0.125,0,0,0,0.125,0.137798498,0.187966239,0.108689152,0.045852279,0.005464481,0,0.621717653,0,0.111111111,0.2125,0,0,0,0.559,0.22550818,0.314574533,0.224028214,0.13721683,0.015717424,0,0.882181182
Saguinus oedipus,Male,Hormonal,0,1,2,0,0,0,1,4,33,46,51,19,0,0,255,404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saguinus oedipus,Male,Surgical,1,1,1,2,0,0,12,17,44,58,54,17,0,0,290,463,0,0,0,0,NA,0,0.25,0.096150478,0.097009563,0.01590623,0.005464481,NA,0,0.324848012,0.1,0,0,0,NA,0,0.325,0.184241932,0.201520885,0.106414343,0.036089597,NA,0,0.676648266,0.1,0.2,0.166666667,0.142857143,NA,0,0.79,0.268239713,0.338600046,0.381669444,0.102058173,NA,0,0.881850939
Saimiri sciureus,Female,Hormonal,2,4,4,1,0,0,8,19,29,66,61,15,26,0,362,559,0.083333333,0.071428571,0.076923077,0,0,0,0.076923077,0.028494139,0.094806862,0.048116537,0.009896127,0.02485514,0,0.403075048,0.175,0.226190476,0.076923077,0,0,0,0.313413859,0.087785904,0.260657817,0.143645896,0.02777212,0.117691826,0,0.752650191,0.175,0.322916667,0.472527473,0.25,0,0,0.593134139,0.184836555,0.38399769,0.394322086,0.114433742,0.168848774,0,0.924812912
Saimiri sciureus,Female,Surgical,1,0,1,1,0,0,4,7,19,40,52,13,19,0,213,356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saimiri sciureus,Male,Surgical,0,5,2,2,0,0,8,17,55,52,28,7,0,0,283,425,0,0.1,0,0,NA,0,0,0.059731046,0.073937244,0.010423754,0,NA,0,0.349427782,0,0.473251029,0.142857143,0,NA,0,0.222222222,0.236289447,0.22729912,0.025152988,0.025273826,NA,0,0.753245719,0,0.473251029,0.285714286,0.666666667,NA,0,0.65,0.434678366,0.396003623,0.264988542,0.08747111,NA,0,0.940838157
Sapajus apella,Male,Surgical,0,1,1,0,0,0,8,10,17,10,18,7,0,0,92,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Suricata suricatta,Female,Hormonal,8,1,25,11,0,0,31,76,141,74,112,40,4,0,588,959,0.018518519,0,0,0,0,0,0.084772771,0.129246457,0.054567562,0.03228002,0.012437995,0.003995331,0,0.3097581,0.070242656,0.016949153,0.078651573,0.036044974,0,0,0.184860298,0.252296632,0.138729882,0.128032269,0.05026435,0.009594883,0,0.626277157,0.21514706,0.016949153,0.40221478,0.303024941,0,0,0.489089393,0.320733054,0.204143233,0.329351992,0.144848376,0.009594883,0,0.855960192
Suricata suricatta,Female,Surgical,0,0,9,3,0,0,10,22,149,75,128,48,4,0,609,1013,0,0,0,0,0,0,0.055555556,0.121447763,0.050463389,0.02974047,0.011411992,0.003687331,0,0.294663326,0,0,0,0.058823529,0,0,0.166666667,0.237128261,0.125680598,0.123508255,0.047896105,0.00867618,0,0.596480177,0,0,0.429436384,0.2760181,0,0,0.452991453,0.32101164,0.187936045,0.32921018,0.173174232,0.00867618,0,0.836836492
Suricata suricatta,Male,Hormonal,1,2,0,0,0,0,7,10,144,62,153,68,0,0,698,1125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Suricata suricatta,Male,Surgical,5,2,5,1,0,0,28,41,140,62,148,67,0,0,677,1094,0.083333333,0,0,0,NA,0,0.273975001,0.100405088,0.039933442,0.034819174,0.02020584,NA,0,0.318478391,0.184699423,0,0.1,0.047619048,NA,0,0.472235674,0.209665693,0.092866446,0.140180517,0.082837279,NA,0,0.642098816,0.242935179,0.111111111,0.266666667,0.047619048,NA,0,0.720595357,0.293193229,0.154362241,0.374548821,0.208996665,NA,0,0.848112658
Sus scrofa,Male,Surgical,0,0,2,1,0,0,6,9,8,3,8,1,0,0,113,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Symphalangus syndactylus,Female,Hormonal,0,6,2,1,0,0,4,13,2,2,2,2,0,0,34,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trachypithecus cristatus,Female,Hormonal,0,0,0,1,0,0,8,9,0,1,0,0,1,0,19,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trachypithecus francoisi,Female,Hormonal,0,4,0,0,2,0,9,15,1,1,1,0,1,0,18,22,0,0,0,0,0.125,0,0,0,0.142857143,0.111111111,0,0,0,0.583333333,0,0.142857143,0,0,0.234375,0,0.357142857,0,0.142857143,0.111111111,0,0.5,0,0.982638889,0,0.448979592,0,0,0.234375,0,0.910714286,0.25,0.142857143,0.111111111,0,0.5,0,0.997106481
Tragelaphus angasii,Male,Surgical,0,3,0,0,0,0,2,5,28,31,10,4,0,0,72,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tragelaphus oryx,Male,Surgical,4,2,1,6,0,0,14,27,45,14,19,10,0,0,168,256,0,0,0,0,NA,0,0.166666667,0.083431173,0.026608911,0.024303956,0.006666667,NA,0,0.370858236,0.19,0,0,0.090909091,NA,0,0.341563786,0.300894709,0.087314257,0.114903243,0.064123429,NA,0,0.651319327,0.316233766,0.076923077,0,0.155844156,NA,0,0.56786065,0.478048545,0.17216511,0.203797626,0.113955818,NA,0,0.897419198
Tragelaphus strepsiceros,Female,Hormonal,1,3,1,3,0,0,7,15,24,19,34,8,17,0,143,245,0,0.125,0,0,0,0,0,0.073012271,0.037471005,0.021531354,0,0.014772914,0,0.216278967,0,0.125,0,0,0,0,0.25,0.124981886,0.118377099,0.110842091,0.017168339,0.102618269,0,0.521082943,0.111111111,0.34375,0.090909091,0.125,0,0,0.485714286,0.20574093,0.160022356,0.303655637,0.090318594,0.175219594,0,0.753771493
Tragelaphus strepsiceros,Male,Surgical,1,1,5,0,0,0,11,18,32,18,17,4,0,0,125,196,0,0,0,0,NA,0,0.314285714,0.123752118,0.033524219,0.01762218,0,NA,0,0.23220776,0,0,0.111111111,0,NA,0,0.52,0.221720901,0.086985109,0.076300308,0.028245192,NA,0,0.539187681,0.1,0.111111111,0.222222222,0,NA,0,0.725714286,0.315969433,0.252738113,0.218000169,0.071813147,NA,0,0.845529673
Ursus americanus,Male,Surgical,0,1,3,0,0,0,5,9,2,3,12,4,0,0,46,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ursus arctos,Male,Surgical,0,1,7,2,0,0,2,12,1,0,10,4,0,0,19,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ursus maritimus,Male,Surgical,0,0,2,1,0,0,7,10,1,3,7,4,0,0,32,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Varecia rubra,Female,Hormonal,2,2,5,2,0,0,19,30,2,7,13,4,1,0,83,110,0.5,0.325,0,0,0,0,0.333333333,0.052631579,0.078525641,0.076923077,0.05,0,0,0.662667076,0.5,0.325,0.213445378,0,0,0,0.639037433,0.086466165,0.139957265,0.144125106,0.05,0.032258065,0,0.890718879,0.6,0.325,0.410084034,0,0,0,0.898190045,0.086466165,0.211627493,0.31412241,0.136363636,0.032258065,0,0.967379101
Vicugna pacos,Male,Surgical,0,0,3,0,0,0,16,19,3,8,13,15,0,0,75,114,0,0,0,0,NA,0,0.307692308,0.02173913,0.067768412,0.066252588,0.135294173,NA,0,0.576371327,0,0,0.228571429,0,NA,0,0.815910585,0.051383399,0.127501738,0.155257471,0.24718459,NA,0,0.770186518,0,0,0.228571429,0,NA,0,0.953977646,0.051383399,0.212783523,0.332549113,0.371953662,NA,0,0.92550281
Vulpes lagopus,Male,Surgical,1,2,2,0,0,0,7,12,4,9,6,4,0,0,63,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vulpes vulpes,Female,Surgical,2,0,0,0,0,0,3,5,13,3,14,4,0,0,42,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vulpes vulpes,Male,Surgical,2,0,0,2,0,0,3,7,16,4,20,10,0,0,85,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vulpes zerda,Male,Surgical,0,1,3,2,0,0,9,15,7,6,41,8,0,0,90,152,0,0,0.1,0,NA,0,0.3,0.085952276,0.044117647,0.150575303,0,NA,0,0.246141973,0,0.125,0.382857143,0,NA,0,0.533333333,0.097823026,0.085768591,0.315849957,0.013888889,NA,0,0.526558899,0,0.125,0.382857143,0.666666667,NA,0,1,0.097823026,0.085768591,0.589652309,0.338237098,NA,0,0.848863684
Zalophus californianus,Female,Hormonal,0,0,1,1,0,0,8,10,5,10,18,4,3,0,108,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zalophus californianus,Male,Surgical,1,3,4,0,0,0,11,19,0,9,14,6,0,0,62,91,0,0,0,0,NA,0,0.5,0,0.209115226,0.205882353,0,NA,0,0.478572592,0,0,0,0,NA,0,0.638888889,0,0.238407255,0.357881434,0.052631579,NA,0,0.814730692,0,0.333333333,0.578125,0,NA,0,0.851851852,0,0.304895511,0.414387868,0.192243767,NA,0,0.944453738